item_id,version_no,sort_order,category_key,validity_start,validity_end
W45000221,1,,Geog/BuiltUp,01/01/1990,
W45000368,1,,Geog/BuiltUp,01/01/1990,
W45000418,1,,Geog/BuiltUp,01/01/1990,
W45000419,1,,Geog/BuiltUp,01/01/1990,
W45000420,1,,Geog/BuiltUp,01/01/1990,
W45000421,1,,Geog/BuiltUp,01/01/1990,
W45000422,1,,Geog/BuiltUp,01/01/1990,
W45000423,1,,Geog/BuiltUp,01/01/1990,
W45000424,1,,Geog/BuiltUp,01/01/1990,
W45000425,1,,Geog/BuiltUp,01/01/1990,
W45000426,1,,Geog/BuiltUp,01/01/1990,
W45000427,1,,Geog/BuiltUp,01/01/1990,
W45000428,1,,Geog/BuiltUp,01/01/1990,
W45000429,1,,Geog/BuiltUp,01/01/1990,
W45000430,1,,Geog/BuiltUp,01/01/1990,
W45000431,1,,Geog/BuiltUp,01/01/1990,
W45000432,1,,Geog/BuiltUp,01/01/1990,
W45000433,1,,Geog/BuiltUp,01/01/1990,
W45000434,1,,Geog/BuiltUp,01/01/1990,
W45000435,1,,Geog/BuiltUp,01/01/1990,
W45000436,1,,Geog/BuiltUp,01/01/1990,
W45000437,1,,Geog/BuiltUp,01/01/1990,
W45000438,1,,Geog/BuiltUp,01/01/1990,
W45000439,1,,Geog/BuiltUp,01/01/1990,
W45000440,1,,Geog/BuiltUp,01/01/1990,
W45000441,1,,Geog/BuiltUp,01/01/1990,
W45000442,1,,Geog/BuiltUp,01/01/1990,
W45000443,1,,Geog/BuiltUp,01/01/1990,
W45000444,1,,Geog/BuiltUp,01/01/1990,
W45000445,1,,Geog/BuiltUp,01/01/1990,
W45000446,1,,Geog/BuiltUp,01/01/1990,
W45000447,1,,Geog/BuiltUp,01/01/1990,
W45000448,1,,Geog/BuiltUp,01/01/1990,
W45000449,1,,Geog/BuiltUp,01/01/1990,
W45000468,1,,Geog/BuiltUp,01/01/1990,
W45000222,1,,Geog/BuiltUp,01/01/1990,
W45000469,1,,Geog/BuiltUp,01/01/1990,
W45000223,1,,Geog/BuiltUp,01/01/1990,
W45000369,1,,Geog/BuiltUp,01/01/1990,
W45000271,1,,Geog/BuiltUp,01/01/1990,
W45000470,1,,Geog/BuiltUp,01/01/1990,
W45000317,1,,Geog/BuiltUp,01/01/1990,
W45000224,1,,Geog/BuiltUp,01/01/1990,
W45000370,1,,Geog/BuiltUp,01/01/1990,
W45000272,1,,Geog/BuiltUp,01/01/1990,
W45000471,1,,Geog/BuiltUp,01/01/1990,
W45000318,1,,Geog/BuiltUp,01/01/1990,
W45000225,1,,Geog/BuiltUp,01/01/1990,
W45000371,1,,Geog/BuiltUp,01/01/1990,
W45000273,1,,Geog/BuiltUp,01/01/1990,
W45000472,1,,Geog/BuiltUp,01/01/1990,
W45000319,1,,Geog/BuiltUp,01/01/1990,
W45000226,1,,Geog/BuiltUp,01/01/1990,
W45000372,1,,Geog/BuiltUp,01/01/1990,
W45000274,1,,Geog/BuiltUp,01/01/1990,
W45000473,1,,Geog/BuiltUp,01/01/1990,
W45000320,1,,Geog/BuiltUp,01/01/1990,
W45000227,1,,Geog/BuiltUp,01/01/1990,
W45000373,1,,Geog/BuiltUp,01/01/1990,
W45000275,1,,Geog/BuiltUp,01/01/1990,
W45000474,1,,Geog/BuiltUp,01/01/1990,
W45000321,1,,Geog/BuiltUp,01/01/1990,
