YearCode,AreaCode,Data,RowRef,Measure,NoteCodes
201415,518,1.349282297,2,2,
201415,518,4.583732057,1,2,
201415,518,1410,2,1,
201415,518,4790,1,1,
201415,520,2.003960396,2,2,
201415,520,3.591419142,1,2,
201415,520,3036,2,1,
201415,520,5441,1,1,
201415,522,3.239100817,2,2,
201415,522,4.948228883,1,2,
201415,522,4755,2,1,
201415,522,7264,1,1,
201415,524,0.325581395,2,2,
201415,524,4.088127295,1,2,
201415,524,266,2,1,
201415,524,3340,1,1,
201415,526,3.77689243,1,2,
201415,526,4.591633466,2,2,
201415,526,1896,1,1,
201415,526,2305,2,1,
201415,528,5.36875,2,2,
201415,528,5.849107143,1,2,
201415,528,6013,2,1,
201415,528,6551,1,1,
201415,530,2.104413348,2,2,
201415,530,4.343379978,1,2,
201415,530,3910,2,1,
201415,530,8070,1,1,
201415,532,1.222022956,2,2,
201415,532,4.427546628,1,2,
201415,532,3407,2,1,
201415,532,12344,1,1,
201415,534,4.629052632,1,2,
201415,534,4.761263158,2,2,
201415,534,10994,1,1,
201415,534,11308,2,1,
201415,536,2.440191388,2,2,
201415,536,4.870215311,1,2,
201415,536,4080,2,1,
201415,536,8143,1,1,
201415,538,0.619815668,2,2,
201415,538,5.379416283,1,2,
201415,538,807,2,1,
201415,538,7004,1,1,
201415,540,1.074805699,2,2,
201415,540,5.091321244,1,2,
201415,540,3319,2,1,
201415,540,15722,1,1,
201415,542,0.771451484,2,2,
201415,542,4.995188452,1,2,
201415,542,962,2,1,
201415,542,6229,1,1,
201415,544,2.213307241,2,2,
201415,544,5.927592955,1,2,
201415,544,4524,2,1,
201415,544,12116,1,1,
201415,545,3.797055731,2,2,
201415,545,6.720294427,1,2,
201415,545,3611,2,1,
201415,545,6391,1,1,
201415,546,3.795863909,2,2,
201415,546,4.486991328,1,2,
201415,546,5690,2,1,
201415,546,6726,1,1,
201415,548,6.274305556,1,2,
201415,548,7.055555556,2,2,
201415,548,3614,1,1,
201415,548,4064,2,1,
201415,550,0.661793646,2,2,
201415,550,3.106269328,1,2,
201415,550,2354,2,1,
201415,550,11049,1,1,
201415,552,1.648827534,2,2,
201415,552,6.618759455,1,2,
201415,552,8719,2,1,
201415,552,35000,1,1,
201415,596,2.138915727,2,2,a
201415,596,5.021712292,1,2,a
201415,596,79696,2,1,t
201415,596,187109,1,1,t
201516,512,1.088353414,2,2,
201516,512,1.66398929,3,2,
201516,512,4.029451138,1,2,
201516,512,813,2,1,
201516,512,1243,3,1,
201516,512,3010,1,1,
201516,514,0,3,1,
201516,514,0,3,2,
201516,514,3.928176796,2,2,
201516,514,5.740331492,1,2,
201516,514,4266,2,1,
201516,514,6234,1,1,
201516,516,0.393911439,3,2,
201516,516,1.193726937,2,2,
201516,516,3.722324723,1,2,
201516,516,427,3,1,
